strain,date,state,county,country
22981-M1051678,8/10/2020,WA,Okanogan,USA
22990-M1055851,8/10/2020,WA,Chelan,USA
22993-X1028460,8/9/2020,WA,Pierce,USA
22994-X1028653,8/9/2020,WA,Pierce,USA
22996-X1028473,8/9/2020,WA,Pierce,USA
22998-S1036477,8/8/2020,WA,Pierce,USA
23004-M1056795,8/10/2020,WA,Chelan,USA
2304-M82870,3/30/2020,WA,King,USA
2305-M82892,3/30/2020,WA,King,USA
23124-S1032594,8/8/2020,WA,King,USA
23126-S1030081,8/7/2020,WA,King,USA
23130-S1029913,8/7/2020,WA,Pierce,USA
23152-M1034507,8/3/2020,WA,Okanogan,USA
23164-M1039447,8/3/2020,WA,Chelan,USA
23166-M1039479,8/3/2020,WA,Chelan,USA
2317-M84473,3/30/2020,WA,King,USA
23175-H1059672,8/6/2020,WA,Pierce,USA
23184-H1057501,8/6/2020,WA,Chelan,USA
23193-H1057112,8/6/2020,WA,Spokane,USA
23194-W1052972,8/5/2020,WA,Spokane,USA
23196-H1053768,8/6/2020,WA,Chelan,USA
2320-M84574,3/30/2020,WA,King,USA
23200-H1054663,8/6/2020,WA,Chelan,USA
23206-F1053006,8/7/2020,WA,King,USA
23210-H1061106,8/6/2020,WA,Chelan,USA
23213-F1055893,8/7/2020,WA,King,USA
23234-F1051415,8/7/2020,WA,King,USA
23235-F1051457,8/7/2020,WA,King,USA
23237-H1061729,8/6/2020,WA,Pierce,USA
23245-F1055410,8/7/2020,WA,King,USA
23252-F1057299,8/7/2020,WA,Chelan,USA
23257-F1054162,8/7/2020,WA,Chelan,USA
23266-F1055964,8/7/2020,WA,Chelan,USA
23276-F1056043,8/7/2020,WA,Chelan,USA
23277-L1056089,8/7/2020,WA,King,USA
23278-L1056630,8/7/2020,WA,King,USA
23283-F1060325,8/5/2020,WA,King,USA
23293-F1053238,8/7/2020,WA,Okanogan,USA
23297-F1060476,8/6/2020,WA,King,USA
23299-H1061377,8/6/2020,WA,Pierce,USA
23302-F1056007,8/7/2020,WA,Chelan,USA
23305-L1056614,8/7/2020,WA,King,USA
23308-H1061374,8/6/2020,WA,Pierce,USA
23312-F1056855,8/7/2020,WA,Chelan,USA
23313-F1056939,8/7/2020,WA,Chelan,USA
23330-X1025218,8/9/2020,WA,Pierce,USA
23335-S1034059,8/8/2020,WA,King,USA
23339-S1035430,8/6/2020,OR,Deschutes,USA
23340-F1061093,8/7/2020,WA,Pierce,USA
23342-F1059521,8/7/2020,WA,King,USA
23349-M1036065,8/3/2020,WA,Okanogan,USA
23355-S1032646,8/8/2020,WA,Chelan,USA
23360-M1039344,8/3/2020,WA,Chelan,USA
23365-X1021135,8/2/2020,WA,Pierce,USA
23371-M1059831,8/10/2020,WA,Pierce,USA
23376-X1028853,8/9/2020,WA,Spokane,USA
23378-X1028851,8/9/2020,WA,Spokane,USA
23379-M1052528,8/10/2020,WA,Chelan,USA
23380-M1052531,8/10/2020,WA,Chelan,USA
23384-L1062642,8/10/2020,WA,King,USA
23389-L1061731,8/10/2020,WA,King,USA
23390-T1052404,8/11/2020,WA,King,USA
23391-T1049790,8/11/2020,WA,Pierce,USA
23394-T1051454,8/11/2020,WA,King,USA
23397-M1055952,8/10/2020,WA,Chelan,USA
23400-M1059210,8/10/2020,WA,Pierce,USA
23406-M1055657,8/10/2020,WA,Chelan,USA
23410-L1062723,8/10/2020,WA,King,USA
23414-X1028852,8/9/2020,WA,Spokane,USA
23415-M1059178,8/10/2020,WA,Pierce,USA
23422-M1055991,8/10/2020,WA,Chelan,USA
23423-X1028891,8/9/2020,WA,Spokane,USA
23426-M1055988,8/10/2020,WA,Chelan,USA
23429-M1055186,8/10/2020,WA,Chelan,USA
23430-M1056202,8/10/2020,WA,Spokane,USA
23431-T1059598,8/11/2020,WA,Thurston,USA
2344-X13498,4/18/2020,WA,Pierce,USA
23445-M1059863,8/10/2020,WA,Pierce,USA
23461-M1060075,8/10/2020,WA,Pierce,USA
23464-M1059781,8/10/2020,WA,Pierce,USA
23467-L1063495,8/10/2020,WA,King,USA
23468-L1066396,8/11/2020,WA,King,USA
23476-L1066607,8/11/2020,WA,King,USA
23477-M1060367,8/10/2020,WA,Pierce,USA
23481-L1065345,8/11/2020,WA,King,USA
23483-M1060458,8/10/2020,WA,Pierce,USA
23487-L1066526,8/11/2020,WA,King,USA
23488-T1052895,8/11/2020,WA,Chelan,USA
23489-T1052900,8/11/2020,WA,Chelan,USA
23490-T1052861,8/11/2020,WA,Chelan,USA
23498-T1054281,8/11/2020,WA,Chelan,USA
23501-T1056521,8/11/2020,WA,Chelan,USA
23510-T1056564,8/11/2020,WA,Chelan,USA
